CD_PROGRAMA_IES,AN_BASE,CD_AREA_AVALIACAO,CD_CURSO_PPG,CD_CONCEITO_CURSO
15001016016P6,2014,5,2,4.0
15001016016P6,2015,5,2,4.0
15001016016P6,2016,5,2,4.0
15001016016P6,2017,5,2,4.0
15001016016P6,2018,5,2,4.0
15001016016P6,2019,5,2,4.0
15001016017P2,2013,5,2,6.0
15001016017P2,2014,5,2,6.0
15001016017P2,2015,5,2,6.0
15001016017P2,2016,5,2,6.0
15001016017P2,2017,5,2,6.0
15001016017P2,2018,5,2,6.0
15001016017P2,2019,5,2,6.0
15001016018P9,2013,13,1,3.0
15001016018P9,2014,13,1,3.0
15001016018P9,2015,13,1,3.0
15001016018P9,2016,13,1,3.0
15001016018P9,2017,13,1,3.0
15001016018P9,2018,13,1,3.0
15001016018P9,2019,13,1,3.0
15001016022P6,2013,7,2,4.0
15001016022P6,2014,7,2,4.0
15001016022P6,2015,7,2,4.0
15001016022P6,2016,7,2,4.0
15001016022P6,2017,7,2,5.0
15001016022P6,2018,7,2,5.0
15001016022P6,2019,7,2,5.0
15001016027P8,2013,45,1,3.0
15001016027P8,2014,45,1,3.0
15001016027P8,2015,45,1,3.0
15001016027P8,2016,45,1,3.0
15001016027P8,2017,45,1,4.0
15001016027P8,2018,45,2,4.0
15001016027P8,2019,45,2,4.0
