CD_PROGRAMA_IES,AN_BASE,CD_AREA_AVALIACAO,CONCEITO_PROGRAMA,Total_docentes,Mulheres,Homens,Brasileiros,Estrangeiros,QTDE_Regime_Parcial,QTDE_Regime_Integral,QTDE_Regime_Exclusivo,QTDE_Prof_Doutor,QTDE_Prof_NaoDoutor,QTDE_titulados_Brasil,QTDE_titulados_Exterior,Profs_Colaboradores,Profs_ServidoresPublicos,Profs_VinculoCLT,Profs_Aposentados,Profs_BolsaDeFixacao,Total_cursos,MEDIA_CONCEITO_CURSO
12001015007P9,2013,49,4,29,11,18,28,1,0,29,0,28,1,22,7,0,17,12,0,0,2,4.0
12001015007P9,2014,49,4,29,11,18,28,1,0,29,0,28,1,22,7,0,17,12,0,0,2,4.0
12001015007P9,2015,49,4,31,14,17,30,1,2,27,2,30,1,24,7,2,16,12,0,1,2,4.0
12001015007P9,2016,49,4,33,14,19,32,1,4,27,2,33,0,24,9,3,17,12,0,1,2,4.0
12001015007P9,2017,49,4,29,12,17,29,0,5,22,2,29,0,20,9,4,16,8,0,1,2,4.0
12001015007P9,2018,49,4,29,12,17,29,0,5,14,10,29,0,20,9,4,17,7,0,1,2,4.0
12001015007P9,2019,49,4,29,12,17,29,0,5,12,12,29,0,19,10,4,19,5,0,1,2,4.0
12001015008P5,2013,5,3,9,4,5,9,0,0,1,8,9,0,8,1,0,9,0,0,0,1,3.0
12001015008P5,2014,5,3,13,6,7,12,1,0,2,11,13,0,12,1,1,11,0,0,1,1,3.0
12001015008P5,2015,5,3,15,7,8,14,1,0,2,13,15,0,14,1,1,13,0,0,1,1,3.0
12001015008P5,2016,5,3,15,7,8,14,1,0,2,13,15,0,14,1,1,13,0,0,1,1,3.0
12001015008P5,2017,5,3,15,8,7,14,1,0,2,13,15,0,14,1,1,12,0,0,2,1,3.0
12001015008P5,2018,5,3,14,6,8,13,1,0,2,12,14,0,12,2,1,11,0,0,2,1,3.0
12001015008P5,2019,5,3,13,5,8,10,3,0,1,12,13,0,11,2,0,12,0,0,1,1,3.0
12001015009P1,2013,13,3,26,11,15,26,0,5,0,21,23,3,22,4,5,20,1,0,0,1,3.0
12001015009P1,2014,13,3,32,13,19,32,0,7,22,3,31,1,28,4,6,23,2,0,1,1,3.0
12001015009P1,2015,13,3,39,16,23,39,0,9,23,7,38,1,35,4,7,29,2,0,1,1,3.0
12001015009P1,2016,13,3,39,15,24,39,0,9,21,9,38,1,35,4,7,30,1,0,1,1,3.0
12001015009P1,2017,13,3,42,15,27,42,0,10,21,11,40,2,38,4,7,32,1,0,2,1,3.0
12001015009P1,2018,13,3,18,4,14,18,0,2,8,8,16,2,18,0,2,16,0,0,0,1,3.0
12001015009P1,2019,13,3,18,4,14,18,0,1,8,9,18,0,16,2,1,17,0,0,0,1,3.0
12001015012P2,2013,2,5,25,5,20,25,0,0,25,0,25,0,19,6,0,23,2,0,0,2,5.0
12001015012P2,2014,2,5,25,6,19,25,0,0,25,0,25,0,19,6,0,24,1,0,0,2,5.0
12001015012P2,2015,2,5,26,5,21,26,0,0,25,1,26,0,19,7,0,25,1,0,0,2,5.0
12001015012P2,2016,2,5,24,5,19,24,0,0,22,2,24,0,18,6,0,24,0,0,0,2,5.0
12001015012P2,2017,2,5,25,5,20,24,1,0,21,4,25,0,19,6,0,25,0,0,0,2,5.0
12001015012P2,2018,2,5,26,5,21,25,1,0,22,4,26,0,20,6,0,26,0,0,0,2,5.0
12001015012P2,2019,2,5,26,5,21,26,0,1,21,4,26,0,20,6,1,25,0,0,0,2,5.0
12001015013P9,2013,48,4,46,21,25,45,1,1,41,4,46,0,41,5,0,42,2,2,0,2,4.0
12001015013P9,2014,48,4,43,19,24,42,1,1,38,4,43,0,39,4,0,39,2,2,0,2,4.0
12001015013P9,2015,48,4,40,18,22,39,1,1,36,3,40,0,36,4,0,37,2,1,0,2,4.0
12001015013P9,2016,48,4,39,17,22,38,1,1,35,3,39,0,35,4,0,36,2,1,0,2,4.0
12001015013P9,2017,48,4,38,15,23,37,1,1,32,5,38,0,34,4,0,35,2,1,0,2,4.0
12001015013P9,2018,48,4,35,15,20,34,1,1,30,4,35,0,31,4,0,32,2,1,0,2,4.0
12001015013P9,2019,48,4,29,11,18,28,1,1,24,4,29,0,26,3,0,26,2,1,0,2,4.0
12001015014P5,2013,45,3,37,17,20,36,1,7,30,0,37,0,33,4,5,30,0,2,0,2,3.0
12001015014P5,2014,45,3,40,17,23,39,1,8,30,2,40,0,35,5,6,31,1,2,0,2,3.0
12001015014P5,2015,45,3,39,16,23,38,1,8,29,2,39,0,34,5,6,30,1,2,0,2,3.0
12001015014P5,2016,45,3,39,16,23,38,1,8,29,2,39,0,34,5,6,30,1,2,0,2,3.0
12001015014P5,2017,45,3,39,17,22,38,1,7,29,3,39,0,34,5,5,31,1,2,0,2,2.5
12001015014P5,2018,45,3,39,17,22,39,0,6,30,3,39,0,34,5,5,31,1,2,0,2,2.5
12001015014P5,2019,45,3,37,16,21,37,0,6,28,3,37,0,32,5,5,29,1,2,0,2,2.5
12001015015P1,2013,1,4,23,3,20,22,1,1,22,0,23,0,22,1,2,21,0,0,0,1,4.0
12001015015P1,2014,1,4,30,3,27,28,2,3,22,5,30,0,25,5,4,26,0,0,0,1,4.0
12001015015P1,2015,1,4,29,4,25,26,3,1,20,8,29,0,23,6,1,28,0,0,0,1,4.0
12001015015P1,2016,1,4,28,4,24,23,5,2,18,8,28,0,22,6,2,26,0,0,0,1,4.0
12001015015P1,2017,1,4,35,5,30,28,7,1,20,14,35,0,30,5,1,34,0,0,0,1,4.0
12001015015P1,2018,1,4,32,5,27,24,8,1,17,14,32,0,26,6,1,31,0,0,0,1,4.0
12001015015P1,2019,1,4,30,4,26,22,8,3,14,13,30,0,24,6,3,27,0,0,0,1,4.0
12001015016P8,2013,42,3,15,3,12,15,0,5,10,0,15,0,14,1,1,12,2,0,0,1,3.0
12001015016P8,2014,42,3,16,2,14,16,0,7,9,0,16,0,14,2,1,13,2,0,0,1,3.0
12001015016P8,2015,42,3,13,2,11,13,0,6,7,0,13,0,12,1,1,11,1,0,0,1,3.0
12001015016P8,2016,42,3,13,2,11,13,0,6,7,0,13,0,12,1,1,11,1,0,0,1,3.0
