,AN_BASE,CD_PROGRAMA_IES,NM_MODALIDADE_PROGRAMA,Qtd_Proj,Pesquisas,Outros projetos,CD_CONCEITO_PROGRAMA,Qtd_Financiamentos,BOLSA,OUTRO AUXÍLIO FINANCEIRO,SEM AUXÍLIO
81,2014,15001016075P2,PROFISSIONAL,26,23,3,3,25,12,10,3
82,2014,15012018001P7,ACADÊMICO,133,129,4,4,68,5,44,19
83,2014,16003012003P7,ACADÊMICO,108,100,8,4,84,14,63,7
84,2014,20001010026P6,ACADÊMICO,54,50,4,3,48,3,44,1
85,2014,21001014003P9,ACADÊMICO,92,89,3,4,88,50,31,7
86,2014,21001014022P3,ACADÊMICO,124,119,5,3,98,70,26,2
87,2014,22001018071P7,PROFISSIONAL,79,77,2,4,15,2,12,1
88,2014,23001011024P1,ACADÊMICO,57,54,3,4,51,32,18,1
89,2014,23001011025P8,ACADÊMICO,89,73,16,5,36,19,16,1
90,2014,23001011067P2,ACADÊMICO,19,18,1,3,9,6,2,1
91,2014,23002018003P0,ACADÊMICO,47,46,1,3,30,11,18,1
92,2014,23002018005P3,ACADÊMICO,157,148,9,3,77,43,33,1
93,2014,24009016025P1,ACADÊMICO,27,22,5,3,46,18,26,2
94,2014,25001019007P5,ACADÊMICO,72,63,9,5,31,11,19,1
95,2014,25001019040P2,ACADÊMICO,142,133,9,5,116,42,73,1
96,2014,25001019083P3,ACADÊMICO,35,28,7,3,22,8,10,4
97,2014,25017012001P7,PROFISSIONAL,21,18,3,3,21,1,17,3
98,2014,27001016017P6,ACADÊMICO,92,86,6,4,145,43,88,14
99,2014,28001010041P0,ACADÊMICO,31,28,3,4,16,10,2,4
100,2014,28002016015P2,ACADÊMICO,49,31,18,3,22,4,16,2
101,2014,28007018016P0,ACADÊMICO,67,54,13,3,49,6,36,7
102,2014,30004012001P0,ACADÊMICO,23,18,5,3,19,12,6,1
103,2014,31001017016P1,ACADÊMICO,25,21,4,6,240,105,134,1
104,2014,31001017021P5,ACADÊMICO,125,120,5,7,101,80,20,1
105,2014,31001017023P8,ACADÊMICO,87,84,3,6,81,65,15,1
106,2014,31002013002P7,ACADÊMICO,42,41,1,6,142,74,67,1
107,2014,31003010087P2,PROFISSIONAL,55,46,9,3,30,14,15,1
108,2014,31003010092P6,PROFISSIONAL,36,32,4,3,25,3,21,1
109,2014,31005012021P0,ACADÊMICO,31,25,6,5,58,33,24,1
110,2014,31005012030P0,ACADÊMICO,33,32,1,4,38,31,6,1
111,2014,31010016019P6,ACADÊMICO,146,144,2,6,117,22,94,1
112,2014,32001010033P6,ACADÊMICO,88,79,9,5,59,10,48,1
113,2014,32001010044P8,ACADÊMICO,91,88,3,3,34,21,12,1
114,2014,32001010098P0,ACADÊMICO,25,20,5,4,23,5,17,1
115,2014,32002017034P9,ACADÊMICO,25,24,1,4,37,21,9,7
116,2014,32003013014P4,PROFISSIONAL,25,21,4,3,21,14,6,1
117,2014,32004010001P0,ACADÊMICO,108,103,5,5,70,30,39,1
118,2014,32004010002P6,ACADÊMICO,120,117,3,7,65,10,53,2
119,2014,32004010027P9,ACADÊMICO,46,39,7,3,45,18,23,4
120,2014,32005016009P3,ACADÊMICO,135,125,10,5,86,16,69,1
121,2014,32005016012P4,ACADÊMICO,160,134,26,4,55,14,39,2
122,2014,32005016038P3,ACADÊMICO,51,43,8,3,36,22,13,1
123,2014,32006012035P0,ACADÊMICO,45,43,2,3,34,22,11,1
124,2014,32008015003P4,ACADÊMICO,57,54,3,5,38,5,27,6
125,2014,32008015011P7,ACADÊMICO,40,36,4,4,28,6,21,1
126,2014,32018010013P1,ACADÊMICO,50,44,6,3,31,3,26,2
127,2014,32053010002P5,ACADÊMICO,20,18,2,3,30,27,2,1
128,2014,33002010052P0,ACADÊMICO,67,58,9,4,45,10,34,1
129,2014,33002010079P5,ACADÊMICO,204,199,5,7,169,11,157,1
130,2014,33002010198P4,ACADÊMICO,29,28,1,6,45,29,15,1
131,2014,33003017076P2,ACADÊMICO,59,43,16,4,54,4,49,1
132,2014,33003017096P3,ACADÊMICO,144,140,4,4,86,45,40,1
133,2014,33007012004P7,ACADÊMICO,41,36,5,3,49,40,8,1
134,2014,33144010017P0,ACADÊMICO,50,48,2,4,71,23,47,1
135,2014,33150010001P3,PROFISSIONAL,50,44,6,4,52,1,20,31
136,2014,40001016040P5,ACADÊMICO,100,85,15,5,139,69,69,1
137,2014,40014010003P3,ACADÊMICO,58,54,4,4,38,8,26,4
138,2014,40014010006P2,ACADÊMICO,95,88,7,3,62,35,26,1
139,2014,40015017009P8,ACADÊMICO,62,57,5,4,33,6,26,1
140,2014,41001010049P9,ACADÊMICO,84,81,3,4,139,88,49,2
141,2014,41002016009P0,PROFISSIONAL,35,26,9,4,59,21,33,5
142,2014,41002016016P6,PROFISSIONAL,49,30,19,4,15,5,9,1
143,2014,41002016020P3,ACADÊMICO,38,31,7,3,57,21,31,5
144,2014,41002016021P0,ACADÊMICO,46,36,10,3,15,7,6,2
145,2014,41004019001P1,ACADÊMICO,47,43,4,4,115,50,61,4
146,2014,41004019002P8,ACADÊMICO,40,37,3,3,97,47,45,5
147,2014,41004019004P0,ACADÊMICO,17,12,5,3,57,37,18,2
148,2014,41005015007P6,PROFISSIONAL,34,22,12,3,16,5,10,1
149,2014,42001013071P3,ACADÊMICO,99,79,20,5,98,38,59,1
150,2014,42002010003P8,ACADÊMICO,83,80,3,6,36,10,25,1
151,2014,42004012020P9,ACADÊMICO,34,30,4,3,5,2,2,1
152,2014,51005018010P5,ACADÊMICO,104,96,8,3,37,2,34,1
153,2014,51005018015P7,ACADÊMICO,30,24,6,3,20,8,10,2
154,2014,52001016039P0,ACADÊMICO,35,31,4,3,90,46,40,4
155,2015,12001015018P0,ACADÊMICO,9,8,1,3,19,13,5,1
156,2015,15001016028P4,ACADÊMICO,112,96,16,4,96,25,69,2
157,2015,15001016032P1,ACADÊMICO,133,129,4,6,118,9,108,1
158,2015,15001016044P0,ACADÊMICO,137,130,7,4,95,19,74,2
159,2015,15001016051P6,ACADÊMICO,39,36,3,4,40,18,21,1
160,2015,15001016068P6,ACADÊMICO,103,98,5,4,62,3,58,1
161,2015,15001016075P2,PROFISSIONAL,28,26,2,3,18,7,9,2
162,2015,15012018001P7,ACADÊMICO,131,127,4,4,67,5,43,19
163,2015,16003012003P7,ACADÊMICO,104,96,8,4,77,13,57,7
164,2015,20009011002P0,ACADÊMICO,68,66,2,3,18,1,16,1
165,2015,21001014003P9,ACADÊMICO,85,83,2,4,72,37,29,6
166,2015,21001014022P3,ACADÊMICO,77,72,5,3,52,34,16,2
167,2015,22001018071P7,PROFISSIONAL,82,80,2,4,15,2,12,1
168,2015,23001011025P8,ACADÊMICO,84,74,10,5,47,31,15,1
169,2015,23001011067P2,ACADÊMICO,19,18,1,3,8,5,2,1
170,2015,23002018005P3,ACADÊMICO,131,123,8,3,60,35,24,1
171,2015,24009016025P1,ACADÊMICO,22,19,3,3,39,16,21,2
172,2015,25001019083P3,ACADÊMICO,39,34,5,3,25,14,8,3
173,2015,27001016017P6,ACADÊMICO,74,69,5,4,88,25,52,11
174,2015,27001016019P9,ACADÊMICO,37,35,2,4,33,1,31,1
175,2015,28001010041P0,ACADÊMICO,35,32,3,4,19,9,6,4
176,2015,28007018016P0,ACADÊMICO,67,53,14,3,50,9,35,6
177,2015,30004012001P0,ACADÊMICO,23,18,5,3,19,12,6,1
178,2015,31001017016P1,ACADÊMICO,25,21,4,6,240,105,134,1
179,2015,31001017021P5,ACADÊMICO,133,131,2,7,87,74,12,1
180,2015,31001017023P8,ACADÊMICO,90,87,3,6,80,64,15,1
181,2015,31002013002P7,ACADÊMICO,42,41,1,6,142,74,67,1
182,2015,31003010087P2,PROFISSIONAL,52,43,9,3,28,13,14,1
183,2015,31003010092P6,PROFISSIONAL,45,37,8,3,27,8,18,1
184,2015,31005012021P0,ACADÊMICO,31,25,6,5,62,40,21,1
185,2015,31005012030P0,ACADÊMICO,43,41,2,4,40,30,9,1
186,2015,31010016019P6,ACADÊMICO,147,146,1,6,109,21,87,1
187,2015,31022014007P2,ACADÊMICO,24,23,1,4,42,12,29,1
188,2015,32001010033P6,ACADÊMICO,81,73,8,5,50,7,42,1
189,2015,32001010044P8,ACADÊMICO,107,105,2,3,51,23,27,1
190,2015,32001010098P0,ACADÊMICO,28,23,5,4,22,4,17,1
191,2015,32002017034P9,ACADÊMICO,25,24,1,4,35,21,9,5
192,2015,32003013014P4,PROFISSIONAL,23,20,3,3,14,10,3,1
193,2015,32004010001P0,ACADÊMICO,106,101,5,5,67,29,37,1
194,2015,32004010002P6,ACADÊMICO,115,112,3,7,64,10,52,2
195,2015,32004010027P9,ACADÊMICO,39,31,8,3,35,12,19,4
196,2015,32005016009P3,ACADÊMICO,143,132,11,5,85,14,70,1
197,2015,32005016012P4,ACADÊMICO,166,136,30,4,55,14,39,2
198,2015,32005016038P3,ACADÊMICO,46,42,4,3,38,29,8,1
199,2015,32008015003P4,ACADÊMICO,52,48,4,5,30,4,22,4
200,2015,32008015011P7,ACADÊMICO,29,27,2,4,25,5,19,1
201,2015,32018010013P1,ACADÊMICO,49,43,6,3,36,4,30,2
202,2015,33002010052P0,ACADÊMICO,48,45,3,4,33,8,24,1
203,2015,33002010079P5,ACADÊMICO,208,203,5,7,145,13,131,1
204,2015,33003017076P2,ACADÊMICO,60,44,16,4,52,4,47,1
205,2015,33003017096P3,ACADÊMICO,136,133,3,4,69,34,34,1
206,2015,33144010017P0,ACADÊMICO,50,48,2,4,68,23,44,1
